FILENAME,MARKER,POPULATION ,ASSAY_TMP_C,MASS_g,VO2_uL_hr_1,VO2_uL_hr_2,VO2_uL_hr_3
6-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,F,WI2,15,0.0529,53.5236,44.4913,31.4068
6-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,G,WI2,15,0.0343,42.4979,29.7908,14.8605
6-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,H,AL,15,0.0519,73.2722,43.3432,25.9154
6-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,I,AL,15,0.0648,,98.8835,27.7987
6-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,J,AL,15,0.0549,46.5106,30.7564,23.4491
6-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,K,AL,15,0.0803,58.0378,32.4644,22.7113
6-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,L,AL,15,0.0767,61.3468,35.8547,28.3305
6-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,M,AL,15,0.046,47.946,29.3544,18.1524
6-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,N,AL,15,0.0459,47.7353,30.1392,18.2025
6-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,O,AL,15,0.0791,54.3484,34.0219,27.3632
6-16-2018_15C_AFTER_RepRec_0001_m.exp,A,MN,15,0.0572,4.8811,33.7095,15.3111
6-16-2018_15C_AFTER_RepRec_0001_m.exp,B,MN,15,0.0352,13.5775,28.4602,13.2227
6-16-2018_15C_AFTER_RepRec_0001_m.exp,C,MN,15,0.0695,,77.9602,20.4139
6-16-2018_15C_AFTER_RepRec_0001_m.exp,D,IR,15,0.0363,31.298,27.0857,12.3269
6-16-2018_15C_AFTER_RepRec_0001_m.exp,E,IR,15,0.0549,40.6145,29.282,14.6126
6-16-2018_15C_AFTER_RepRec_0001_m.exp,F,IR,15,0.0662,46.6063,30.7444,16.3233
6-16-2018_15C_AFTER_RepRec_0001_m.exp,G,IR,15,0.0581,48.8496,29.0289,13.5483
6-16-2018_15C_AFTER_RepRec_0001_m.exp,H,AL,15,0.0479,67.1326,34.8143,19.3679
6-16-2018_15C_AFTER_RepRec_0001_m.exp,I,AL,15,0.0438,48.5373,25.7516,15.01
6-16-2018_15C_AFTER_RepRec_0001_m.exp,J,AL,15,0.04,52.9723,31.0951,16.4191
6-16-2018_15C_AFTER_RepRec_0001_m.exp,K,WI2,15,0.0586,56.7362,30.0346,19.1639
6-16-2018_15C_AFTER_RepRec_0001_m.exp,L,WI2,15,0.0398,48.953,22.3169,14.1318
6-16-2018_15C_AFTER_RepRec_0001_m.exp,M,WI2,15,0.0545,57.6474,31.0274,22.7023
6-16-2018_15C_AFTER_RepRec_0001_m.exp,N,WI2,15,0.0441,47.7914,25.4344,21.7957
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,A,MN,25,0.0794,67.1689,68.482,51.9903
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,B,MN,25,0.0344,30.6961,34.626,25.8555
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,C,MN,25,0.037,50.5989,42.8159,30.5915
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,D,IR,25,0.0788,77.9431,59.2954,47.4236
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,E,IR,25,0.0692,68.7378,59.2987,52.4353
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,F,IR,25,0.0442,54.0986,43.0852,38.4413
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,G,IR,25,0.0396,47.3481,30.0497,24.6548
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,H,AL,25,0.065,76.8113,56.4252,41.3328
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,I,AL,25,0.0656,71.0865,50.3622,45.5546
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,J,AL,25,0.0728,57.8014,47.0654,41.4477
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,K,WI2,25,0.0627,81.72,60.6427,57.9974
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,L,WI2,25,0.0505,63.9517,33.4238,36.7331
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,M,WI2,25,0.0444,58.4782,34.8713,33.7953
6-17-2018_25C_3rd_MORN_RepRec_0001_m.exp,N,WI2,25,0.041,51.5901,33.0133,26.2723
6-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,A,MN,30,0.0415,51.0953,55.8874,47.6402
6-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,B,MN,30,0.0708,78.9593,76.0044,50.9943
6-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,G,IR,30,0.0405,82.649,64.7322,49.1796
6-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,H,AL,30,0.0254,78.0409,55.7001,41.3102
6-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,I,AL,30,0.0412,71.6886,58.4644,32.3408
6-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,J,AL,30,0.0472,86.3225,59.3672,52.5676
6-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,K,WI2,30,0.0423,83.5139,51.4055,43.9019
6-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,L,WI2,30,0.0381,88.2828,42.4209,31.5375
6-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,M,WI2,30,0.0364,76.3021,47.7969,37.8625
6-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,N,WI2,30,0.0345,78.984,46.3008,43.8253
6-22-2018_25C_3rd_MORN_RepRec_0001_m.exp,A,WI1,25,0.0932,94.9464,92.9412,73.7861
6-22-2018_25C_3rd_MORN_RepRec_0001_m.exp,B,WI1,25,0.0685,60.008,59.1845,48.941
6-22-2018_25C_3rd_MORN_RepRec_0001_m.exp,C,WI1,25,0.032,35.9723,32.1513,29.838
6-22-2018_25C_3rd_MORN_RepRec_0001_m.exp,D,WI1,25,0.0535,44.198,42.2853,38.4692
6-22-2018_25C_3rd_MORN_RepRec_0001_m.exp,E,WI1,25,0.032,32.5898,29.7014,29.7954
6-23-2018_30C_3rd_MORN_RepRec_0001_m.exp,A,WI1,30,0.0319,35.7084,40.4174,41.6114
6-23-2018_30C_3rd_MORN_RepRec_0001_m.exp,B,WI1,30,0.0362,48.8844,52.1829,65.7437
6-23-2018_30C_3rd_MORN_RepRec_0001_m.exp,C,WI1,30,0.0354,63.1249,51.1542,47.6674
6-23-2018_30C_3rd_MORN_RepRec_0001_m.exp,D,WI1,30,0.0337,50.3796,39.6325,35.8254
6-23-2018_30C_3rd_MORN_RepRec_0001_m.exp,E,WI1,30,0.0867,114.1647,102.3515,102.4992
6-28-2018_25C_3rd_MORN_RepRec_0001_m.exp,A,WV2,25,0.057,36.1381,22.6864,32.4546
6-28-2018_25C_3rd_MORN_RepRec_0001_m.exp,B,WV2,25,0.0476,42.4395,22.3949,38.2587
6-28-2018_25C_3rd_MORN_RepRec_0001_m.exp,C,WV2,25,0.0678,,74.4611,44.5304
6-28-2018_25C_3rd_MORN_RepRec_0001_m.exp,D,WV2,25,0.0512,,41.2536,22.3312
6-28-2018_25C_3rd_MORN_RepRec_0001_m.exp,E,WV2,25,0.032,36.6377,17.7432,19.385
6-3-2018_15C_3rd_MORN_RepRec_0001_m.exp,A,SWVA,15,0.0351,,18.6008,6.5577
6-3-2018_15C_3rd_MORN_RepRec_0001_m.exp,B,SWVA,15,0.0167,11.8198,23.29,7.5076
6-3-2018_15C_3rd_MORN_RepRec_0001_m.exp,C,SWVA,15,0.0498,14.8494,21.8936,9.2785
6-3-2018_15C_3rd_MORN_RepRec_0001_m.exp,D,SWVA,15,0.029,13.4864,16.4204,5.0147
6-3-2018_15C_3rd_MORN_RepRec_0001_m.exp,F,SWVA,15,0.0457,53.9615,21.5035,11.9054
6-3-2018_15C_3rd_MORN_RepRec_0001_m.exp,G,SWVA,15,0.0357,38.8817,13.723,6.3022
6-3-2018_15C_3rd_MORN_RepRec_0001_m.exp,H,SWVA,15,0.0553,36.5633,24.5525,15.3838
6-3-2018_15C_3rd_MORN_RepRec_0001_m.exp,I,SWVA,15,0.0288,23.141,11.424,7.2712
6-3-2018_15C_3rd_MORN_RepRec_0001_m.exp,J,SWVA,15,0.0429,23.9795,13.9724,9.465
6-3-2018_15C_3rd_MORN_RepRec_0001_m.exp,K,SWVA,15,0.0398,22.9138,13.466,10.969
6-3-2018_15C_3rd_MORN_RepRec_0001_m.exp,L,SWVA,15,0.0315,17.1506,11.6949,8.5274
6-5-2018_15C_3rd_AFTER_RepRec_0001_m.exp,A,WI1,15,0.0587,15.5361,51.8582,30.2453
6-5-2018_15C_3rd_AFTER_RepRec_0001_m.exp,B,WI1,15,0.0438,22.0027,40.3481,20.3496
6-5-2018_15C_3rd_AFTER_RepRec_0001_m.exp,C,WI1,15,0.0527,36.5066,41.7838,22.1582
6-5-2018_15C_3rd_AFTER_RepRec_0001_m.exp,D,WI1,15,0.0491,38.2464,39.366,19.8738
6-5-2018_15C_3rd_AFTER_RepRec_0001_m.exp,E,WI1,15,0.0791,53.035,47.8698,29.6547
6-5-2018_15C_3rd_AFTER_RepRec_0001_m.exp,F,WI1,15,0.0603,45.7901,37.1321,20.5766
6-5-2018_15C_3rd_AFTER_RepRec_0001_m.exp,G,WI1,15,0.046,45.7178,33.7612,19.4802
6-5-2018_15C_3rd_AFTER_RepRec_0001_m.exp,H,WI1,15,0.053,68.4856,44.9623,24.1546
6-5-2018_15C_3rd_AFTER_RepRec_0001_m.exp,I,WI1,15,0.0522,50.8103,33.1338,19.1756
6-5-2018_15C_3rd_AFTER_RepRec_0001_m.exp,J,WI1,15,0.042,50.0342,31.0931,17.7003
6-5-2018_15C_3rd_AFTER_RepRec_0001_m.exp,K,WI1,15,0.0561,51.9817,29.4831,16.5931
6-5-2018_15C_3rd_AFTER_RepRec_0001_m.exp,L,WI1,15,0.0446,53.8626,31.396,19.6887
6-6-2018_15C_3rd_AFTER_RepRec_0001_m.exp,A,WV2,15,0.0586,19.3051,36.6668,24.3834
6-6-2018_15C_3rd_AFTER_RepRec_0001_m.exp,B,WV2,15,0.0375,14.3734,29.7344,14.7484
6-6-2018_15C_3rd_AFTER_RepRec_0001_m.exp,C,WV2,15,0.0742,35.7869,,68.8832
6-6-2018_15C_3rd_AFTER_RepRec_0001_m.exp,D,WV2,15,0.0574,34.598,,59.285
6-6-2018_15C_3rd_AFTER_RepRec_0001_m.exp,E,WV2,15,0.0654,44.0231,42.3316,28.0069
6-6-2018_15C_3rd_AFTER_RepRec_0001_m.exp,F,WV2,15,0.0744,83.6864,28.1498,16.8111
6-6-2018_15C_3rd_AFTER_RepRec_0001_m.exp,G,WV2,15,0.0237,31.2267,17.5116,8.0029
6-6-2018_15C_3rd_AFTER_RepRec_0001_m.exp,H,WV2,15,0.0474,54.2862,33.3976,19.9534
6-6-2018_15C_3rd_AFTER_RepRec_0001_m.exp,I,WV2,15,0.0561,42.8536,26.1796,17.0805
6-6-2018_15C_3rd_AFTER_RepRec_0001_m.exp,J,WV2,15,0.0555,43.6021,31.1952,20.0992
6-6-2018_15C_3rd_AFTER_RepRec_0001_m.exp,K,WV2,15,0.0486,41.6937,22.612,15.916
6-6-2018_15C_3rd_AFTER_RepRec_0001_m.exp,L,WV2,15,0.0752,55.9098,31.4229,22.973
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,A,WV2,25,0.0852,93.5594,81.8445,64.4761
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,B,WV2,25,0.0796,63.8271,64.3835,60.1941
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,C,WV2,25,0.0329,32.8,35.3948,26.9457
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,D,WV2,25,0.0591,61.564,53.3263,49.9565
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,E,WV2,25,0.0481,46.0561,44.2272,32.6305
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,F,WV2,25,0.0527,49.324,41.8063,24.4946
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,G,WV2,25,0.0688,60.9714,52.1399,40.6279
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,H,WI1,25,0.0834,73.9492,69.6638,54.8953
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,I,WI1,25,0.073,49.454,44.7409,39.3257
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,J,WI1,25,0.0878,72.4338,65.5446,57.934
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,K,WI1,25,0.0987,76.7673,69.6468,56.1107
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,L,WI1,25,0.0684,71.8205,67.1007,46.558
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,M,WI1,25,0.1016,78.4793,67.5919,65.6519
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,N,WI1,25,0.0492,56.0515,49.6601,44.0524
6-7-2018_25C_3rd_AFTER_RepRec_0001_m.exp,O,WI1,25,0.0515,42.3586,38.5296,34.1626
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,A,WV2,30,0.0293,30.8582,39.6614,24.7321
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,B,WV2,30,0.0599,71.9074,42.4532,56.0081
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,C,WV2,30,0.0678,78.2024,44.2659,70.3798
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,D,WV2,30,0.052,56.7412,35.1449,40.0089
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,E,WV2,30,0.0687,85.1842,51.096,53.7628
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,F,WV2,30,0.0535,74.2739,53.2421,67.1168
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,G,WV2,30,0.0318,62.3963,39.6253,44.7263
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,H,WV2,30,0.0353,51.8243,32.9013,41.9257
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,I,WI1,30,0.0467,74.2346,54.7394,66.1658
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,J,WI1,30,0.0432,64.0647,48.0939,48.2997
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,K,WI1,30,0.032,40.2238,35.5429,29.9125
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,L,WI1,30,0.0388,60.41,24.8193,30.5557
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,M,WI1,30,0.0287,52.9338,53.1227,49.2704
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,N,WI1,30,0.0653,67.2491,58.5053,73.1674
6-8-2018_30C_3rd_MORN_RepRec_0001_m.exp,O,WI1,30,0.0487,57.7743,36.8061,39.2017
